Fontas,Andreu,Sporting Kansas City,D,"$700,000","$700,000"
Ford,Kortne,Colorado Rapids,D,"$120,000","$120,000"
Francis,Waylon,Columbus Crew,D,"$200,000","$239,167"
Frankowski,Przemyslaw,Chicago Fire,M,"$625,000","$836,687"
Fraser,Liam,Toronto FC,M,"$81,375","$86,375"
Freeman,Tyler,Sporting Kansas City,F,"$81,375","$83,875"
Freese,Matt,Philadelphia Union,GK,"$75,000","$82,650"
Frei,Stefan,Seattle Sounders FC,GK,"$500,000","$512,500"
Fuenmayor,Alejandro,Houston Dynamo,D,"$152,250","$179,750"
Fuentes,Gilbert,San Jose Earthquakes,M,"$140,000","$158,750"
Gaddis,Ray,Philadelphia Union,D,"$195,000","$195,000"
Gallacher,Tony,Toronto FC,D,"$63,547","$72,000"
Gallagher,Jon,Atlanta United,F,"$81,375","$81,375"
Gallardo,Erickson,Toronto FC,M,"$275,004","$306,917"
Gallese,Pedro,Orlando City SC,GK,"$380,000","$380,000"
Galvan,Braian,Colorado Rapids,F,"$120,000","$212,375"
Garcia,Oscar Boniek,Houston Dynamo,M,"$200,000","$210,000"
Garcia,Chris,Real Salt Lake,F,"$63,547","$67,847"
Garza,Greg,FC Cincinnati,D,"$320,000","$320,000"
Gasper,Chase,Minnesota United,D,"$63,547","$63,547"
Gil,Carles,New England Revolution,M,"$2,100,000","$2,619,667"
Gimenez,Gaston,Chicago Fire,M,"$1,320,000","$1,870,667"
Ginella,Francisco,LAFC,M,"$360,000","$482,250"
Giraldo,Tomas,Montreal Impact,M,"$63,547","$72,304"
Glad,Justen,Real Salt Lake,D,"$450,000","$471,700"
Gleadle,Sam,Minnesota United,D,"$63,547","$63,547"
Glesnes,Jakob,Philadelphia Union,D,"$420,000","$443,125"
Godoy,Anibal,Nashville SC,M,"$650,000","$721,667"
Godoy,Erik,Vancouver Whitecaps,D,"$350,000","$350,000"
Gomez Andrade,Yeimar,Seattle Sounders FC,D,"$275,000","$362,000"
Gonzalez,Yony,LA Galaxy,F-M,"$1,266,667","$1,270,667"
Gonzalez,Omar,Toronto FC,D,"$720,000","$995,936"
Gonzalez,Giancarlo,LA Galaxy,D,"$750,000","$819,583"
Gonzalez Pirez,Leandro,Inter Miami,D,"$742,500","$902,750"
Gray,Tayvon,New York City FC,D,"$63,547","$83,334"
Gregus,Jan,Minnesota United,M,"$750,000","$883,500"
Gressel,Julian,DC United,M,"$500,000","$555,781"
Gutierrez,Brian,Chicago Fire,M,"$63,547","$65,447"
Gutierrez,Felipe,Sporting Kansas City,M,"$1,600,000","$1,650,000"
Gutierrez,Cristian,Vancouver Whitecaps,D,"$81,375","$98,875"
Gutjahr,Jeremiah,Chicago Fire,D,"$63,547","$63,547"
Gutman,Andrew,FC Cincinnati,D,"$100,000","$100,000"
Guzan,Brad,Atlanta United,GK,"$730,008","$790,008"
Gyau,Joe,FC Cincinnati,M,"$166,000","$186,473"
Haak,Justin,New York City FC,M,"$63,547","$63,547"
Haakenson,Luke,Nashville SC,M,"$63,547","$63,547"
Hagglund,Nick,FC Cincinnati,D,"$151,255","$160,880"
Hairston,Marlon,Minnesota United,M-D,"$200,004","$200,004"
Haji,Siad,San Jose Earthquakes,F,"$85,000","$94,000"
Halliday,Michael,Orlando City SC,D,"$81,375","$90,939"
Hamid,Bill,DC United,GK,"$500,000","$500,000"
Hamilton,Jordan,Columbus Crew,F,"$81,375","$81,375"
Hansen,Niko,Houston Dynamo,M,"$81,375","$88,875"
Harris,Wilson,Sporting Kansas City,F,"$63,547","$67,399"
Harvey,Carlos Miguel,LA Galaxy,D-M,"$63,547","$63,547"
Harvey,Jordan,LAFC,D,"$185,000","$185,000"
Hasal,Thomas,Vancouver Whitecaps,GK,"$63,547","$63,547"
Hayes,Jacori,Minnesota United,M,"$81,375","$88,875"
Hedges,Matt,FC Dallas,D,"$750,000","$750,000"
Herbers,Fabian,Chicago Fire,F,"$155,004","$155,004"
Hernandez,Javier,LA Galaxy,F,"$6,000,000","$6,000,000"
Hernandez,Felipe,Sporting Kansas City,M,"$63,547","$63,547"
Herrera,Aaron,Real Salt Lake,D,"$275,000","$303,794"
Higuain,Federico,Inter Miami,M-F,"$81,375","$81,375"
Higuain,Gonzalo,Inter Miami,F,"$1,457,148","$2,150,898"
Hoesen,Danny,San Jose Earthquakes,F,"$525,000","$574,667"
Hollingshead,Ryan,FC Dallas,D,"$315,000","$315,000"
Holt,Erik,Real Salt Lake,D,"$81,375","$81,375"
Hopeau,Shandon,Seattle Sounders FC,M,"$63,547","$71,183"
Hundley,Matt,Colorado Rapids,F,"$81,375","$90,375"
Hurtado,Erik,Sporting Kansas City,F,"$192,500","$198,750"
Hyndman,Emerson,Atlanta United,M,"$800,000","$800,000"
Ibarra,Miguel,Seattle Sounders FC,M-F,"$210,000","$210,000"
Ibeagha,Sebastien,New York City FC,D,"$100,000","$127,125"
Iloski,Milan,Real Salt Lake,F,"$81,375","$82,875"
Insua,Emiliano,LA Galaxy,D,"$350,000","$350,000"
Irwin,Clint,Colorado Rapids,GK,"$168,000","$180,707"
Ivacic,Aljaz,Portland Timbers,GK,"$165,000","$175,000"
Jackson,Niki,Colorado Rapids,F,"$81,375","$81,375"
Jackson-Hamel,Anthony,Montreal Impact,F,"$130,000","$144,000"
Jahn,Adam,Atlanta United,F,"$115,000","$124,000"
Jakovic,Dejan,LAFC,D,"$175,000","$175,000"
Jansson,Robin,Orlando City SC,D,"$288,000","$316,800"
Jara,Franco,FC Dallas,F,"$2,200,000","$2,887,000"
Jasson,Andres,New York City FC,F,"$81,375","$98,519"
Jensen,David,New York Red Bulls,GK,"$324,996","$364,631"
Jimenez,Hector,Columbus Crew,M,"$200,000","$200,000"
Johnson,Sean,New York City FC,GK,"$465,000","$465,000"
Johnston,Alistair,Nashville SC,M-D,"$63,547","$63,547"
Jones,Derrick,Nashville SC,M,"$125,000","$147,969"
Jones,DeJuan,New England Revolution,D-M,"$90,000","$94,938"
Jones,Alvin,Real Salt Lake,D,"$81,375","$81,375"
Jones,Joevin,Seattle Sounders FC,D-M,"$482,004","$528,671"
Jorgensen,Mathias,New York Red Bulls,F,"$300,000","$331,250"
Jungwirth,Florian,San Jose Earthquakes,D-M,"$525,000","$567,667"
Junqua,Sam,Houston Dynamo,D,"$63,547","$63,547"
Kallman,Brent,Minnesota United,D,"$200,000","$233,531"
Kamara,Ola,DC United,F,"$400,000","$420,000"
Kamara,Kei,Minnesota United,F,"$750,000","$750,000"
Kann,Alec,Atlanta United,GK,"$110,000","$110,000"
Kappelhof,Johan,Chicago Fire,D,"$575,000","$602,833"
Kashia,Guram,San Jose Earthquakes,D,"$640,000","$640,000"
Kaye,Mark-Anthony,LAFC,M,"$226,875","$238,438"
Keita,Aboubacar,Columbus Crew,D,"$100,000","$100,000"
Kelly,Jeremy,Colorado Rapids,D,"$81,375","$81,375"
Kempin,Jon,Columbus Crew,GK,"$81,375","$81,375"
Kessler,Henry,New England Revolution,D,"$81,375","$101,375"
Khmiri,Jasser,Vancouver Whitecaps,D,"$210,000","$210,000"
Kiesewetter,Jerome,Inter Miami,F,"$81,375","$81,375"
Kinda,Gadi,Sporting Kansas City,M,"$650,000","$718,000"
Kitchen,Perry,LA Galaxy,M,"$550,000","$574,167"
Kizza,Mustafa,Montreal Impact,,"$150,000","$166,800"
Klinsmann,Jonathan,LA Galaxy,GK,"$81,375","$81,375"
Kljestan,Sacha,LA Galaxy,M,"$307,000","$307,000"
Knighton,Brad,New England Revolution,GK,"$130,000","$136,750"
Koreniuk,Kai,LA Galaxy,M-F,"$63,547","$63,547"
Kovacevic,Franko,FC Cincinnati,F,"$282,000","$282,000"
Kreilach,Damir,Real Salt Lake,M,"$1,168,769","$1,282,102"
Krkic,Bojan,Montreal Impact,M,"$1,500,000","$1,799,572"
Kronholm,Kenneth,Chicago Fire,GK,"$433,200","$496,200"
Kubo,Yuya,FC Cincinnati,F,"$1,000,000","$1,122,500"
Kunga,Lagos,Atlanta United,M-F,"$81,375","$84,375"
Kuzain,Wan,Sporting Kansas City,M,"$81,375","$81,375"
LaGrassa,Matt,Nashville SC,M,"$81,375","$81,375"
Lampson,Matt,Columbus Crew,GK,"$81,375","$81,375"
Lancaster,Cameron,Nashville SC,F,"$130,000","$137,816"
Langsdorf,Foster,Minnesota United,F,"$81,375","$81,375"
Lappalainen,Lassi,Montreal Impact,M,"$322,881","$322,881"
Larentowicz,Jeff,Atlanta United,M-D,"$280,000","$280,000"
Laryea,Richie,Toronto FC,M,"$81,375","$108,328"
Lassiter,Ariel,Houston Dynamo,F,"$144,000","$164,280"
Leal,Randall,Nashville SC,F-M,"$360,000","$417,750"
Leerdam,Kelvin,Seattle Sounders FC,D,"$650,000","$700,000"
Lema,Chris,New York Red Bulls,M,"$63,547","$63,547"
Lemoine,Nico,Houston Dynamo,F,"$63,547","$63,547"
