"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"Tanner","Beason","New England Revolution","Center-back","$350,000.00","$350,000.00"
"Adam","Beaudry","Colorado Rapids","Goalkeeper","$113,400.00","$115,900.00"
"Simon","Becher","St. Louis City SC","Center Forward","$400,000.00","$444,375.00"
"Alejandro","Bedoya","Philadelphia Union","Central Midfield","$113,400.00","$226,800.00"
"Jon","Bell","Austin FC","Center-back","$225,000.00","$225,000.00"
"Ben","Bender","Philadelphia Union","Central Midfield","$140,000.00","$149,667.00"
"Nehuen","Benedetti","New York Red Bulls","Central Midfield","$160,000.00","$194,800.00"
"Nimfasha","Berchimas","Charlotte FC","Left Wing","$150,000.00","$164,934.00"
"Lasse","Berg Johnsen","Sporting Kansas City","Central Midfield","$1,100,000.00","$1,191,250.00"
"Gustav","Berggren","New York Red Bulls","Defensive Midfield","$1,200,000.00","$1,310,000.00"
"Sebastian","Berhalter","Vancouver Whitecaps","Central Midfield","$480,000.00","$480,000.00"
"Juan","Berrocal","Atlanta United","Center-back","$1,424,666.64","$1,424,666.64"
"Germán","Berterame","Inter Miami","Center Forward","$2,800,000.00","$3,824,200.00"
"Pep","Biel","Charlotte FC","Attacking Midfield","$2,775,000.00","$3,015,563.00"
"Ran","Binyamin","FC Dallas","Central Midfield","$275,000.00","$302,083.00"
"Tristan","Blackmon","Vancouver Whitecaps","Center-back","$975,000.00","$975,000.00"
"Andre","Blake","Philadelphia Union","Goalkeeper","$1,000,000.00","$1,181,250.00"
"Emmanuel","Boateng","San Diego FC","Left Midfield","$185,004.00","$185,004.00"
"Israel","Boatwright","Inter Miami","Right-back","$113,400.00","$115,400.00"
"Isaac","Boehmer","Vancouver Whitecaps","Goalkeeper","$165,000.00","$173,750.00"
"Wiktor","Bogacz","New York Red Bulls","Center Forward","$420,000.00","$546,240.00"
"Mateusz","Bogusz","Houston Dynamo","Attacking Midfield","$2,349,996.00","$2,521,048.00"
"Dean","Boltz","Chicago Fire","Center Forward","$88,025.00","$90,025.00"
"Luca","Bombino","San Diego FC","Left-back","$150,000.00","$177,200.00"
"Jonathan","Bond","Houston Dynamo","Goalkeeper","$750,000.00","$809,704.00"
"Alex","Bonetig","Portland Timbers","Center-back","$240,000.00","$261,000.00"
"Alex","Bono","DC United","Goalkeeper","$250,000.00","$262,500.00"
"Zach","Booth","Real Salt Lake","Left Wing","$200,000.00","$217,500.00"
"Diego Henrique","Borges da Silva","Sporting Kansas City","Center-back","$300,000.00","$330,000.00"
"Dylan","Borso","Chicago Fire","Right Wing","$113,400.00","$121,400.00"
"Denis","Bouanga","LAFC","Left Wing","$4,000,000.00","$4,939,217.00"
"Ousseni","Bouda","San Jose Earthquakes","Center Forward","$350,000.00","$350,000.00"
"Amin","Boudri","LAFC","Attacking Midfield","$650,000.00","$742,000.00"
"Agustín","Bouzat","Houston Dynamo","Defensive Midfield","$624,996.00","$705,746.00"
"Giuseppe","Bovalina","Vancouver Whitecaps","Right-back","$125,000.00","$137,980.00"
"Michael","Boxall","Minnesota United","Center-back","$800,000.00","$927,500.00"
"Tyler","Boyd","LAFC","Left Wing","$1,430,000.00","$1,435,000.00"
"Chris","Brady","Chicago Fire","Goalkeeper","$250,000.00","$348,333.00"
"David","Brekalo","Orlando City SC","Center-back","$600,000.00","$683,000.00"
"Luke","Brennan","Atlanta United","Right Midfield","$125,000.00","$125,000.00"
"Sébastian","Breza","CF Montreal","Goalkeeper","$113,400.00","$123,400.00"
"Yannick","Bright","Inter Miami","Defensive Midfield","$385,000.00","$464,192.00"
"Brandt","Bronico","Charlotte FC","Central Midfield","$500,000.00","$551,667.00"
"Tristan","Brown","Columbus Crew","Left-back","$88,025.00","$92,389.00"
"Snyder","Brunell","Seattle Sounders FC","Defensive Midfield","$88,025.00","$98,051.00"
"Charles-Emile","Brunet","Nashville SC","Defensive Midfield","$88,025.00","$88,025.00"
"Pavel","Bucha","FC Cincinnati","Central Midfield","$499,992.00","$548,774.00"
"Noel","Buck","San Jose Earthquakes","Central Midfield","$150,000.00","$150,000.00"
"Jesús","Bueno","Philadelphia Union","Defensive Midfield","$325,000.00","$359,125.00"
"Dawid","Bugaj","CF Montreal","Right-back","$240,000.00","$267,600.00"
"Micah","Burton","Austin FC","Attacking Midfield","$125,000.00","$136,000.00"
"Evan","Bush","Columbus Crew","Goalkeeper","$113,400.00","$113,400.00"
"Brandon","Bye","Portland Timbers","Right-back","$400,000.00","$442,500.00"
"Nathan","Byrne","Charlotte FC","Right-back","$475,000.00","$498,750.00"
"Sergio","Córdova","St. Louis City SC","Center Forward","$1,200,000.00","$1,213,500.00"
"Rafael","Cabral Barbosa","Real Salt Lake","Goalkeeper","$470,000.00","$703,750.00"
"Kenji","Cabrera","Vancouver Whitecaps","Left Wing","$400,000.00","$440,053.00"
"Bruno","Caicedo","Vancouver Whitecaps","Left Wing","$390,000.00","$430,150.00"
"José","Caicedo","Portland Timbers","Defensive Midfield","$1,000,000.00","$1,075,009.00"
"Marcus","Caldeira","Minnesota United","Center Forward","$88,025.00","$88,025.00"
"Taylor","Calheira","Sporting Kansas City","Center Forward","$88,025.00","$100,824.00"
"Noel","Caliskan","Real Salt Lake","Central Midfield","$113,400.00","$113,400.00"
"Drake","Callender","Minnesota United","Goalkeeper","$450,000.00","$505,917.00"
"Rudy","Camacho","Columbus Crew","Center-back","$350,000.00","$415,000.00"
