Vancouver Whitecaps,Franklin,Sean,D,$,"150,000.00",$,"150,000.00"
Toronto FC,Fraser,Liam,M,$,"67,500.00",$,"72,500.00"
Sporting Kansas City,Freeman,Tyler,F,$,"55,200.00",$,"67,700.00"
Seattle Sounders FC,Frei,Stefan,GK,$,"250,000.08",$,"262,500.08"
Houston Dynamo,Fuenmayor,Alejandro,D,$,"85,008.00",$,"112,508.00"
San Jose Earthquakes,Fuentes,Gilbert,M,$,"69,999.96",$,"81,999.96"
Philadelphia Union,Gaddis,Raymon,D,$,"180,000.00",$,"182,500.00"
Atlanta United,Gallagher,Jon,F,$,"67,500.00",$,"68,750.00"
Houston Dynamo,Garcia,Oscar Boniek,M,$,"150,000.00",$,"165,000.00"
Houston Dynamo,Garcia,Kevin,D,$,"68,915.07",$,"68,915.07"
Atlanta United,Garza,Greg,D,$,"175,008.00",$,"175,008.00"
Colorado Rapids,Gashi,Shkelzen,F,$,"1,575,000.00",$,"1,668,750.00"
Vancouver Whitecaps,Ghazal,Aly,M,$,"575,000.04",$,"700,566.71"
Houston Dynamo,Gil,Luis,M,$,"67,500.00",$,"67,500.00"
Toronto FC,Giovinco,Sebastian,F,$,"5,600,000.00",$,"7,115,555.67"
Orlando City SC,Giro,Victor,D-M,$,"90,000.00",$,"95,312.50"
Real Salt Lake,Glad,Justen,D,$,"270,000.00",$,"291,700.00"
Portland Timbers,Gleeson,Jake,GK,$,"120,000.00",$,"125,166.67"
San Jose Earthquakes,Godoy,Anibal,M,$,"425,000.04",$,"473,125.04"
Minnesota United,Gomez,Alexi,M,$,"300,000.00",$,"339,450.00"
FC Dallas,Gonzalez,Jesse,GK,$,"187,500.00",$,"211,500.00"
Chicago Fire,Gordon,Alan,F,$,"150,000.00",$,"155,000.00"
Atlanta United,Goslin,Chris,M,$,"80,000.00",$,"84,000.00"
Columbus Crew,Grella,Mike,F,$,"195,300.00",$,"197,550.00"
Atlanta United,Gressel,Julian,M,$,"92,500.00",$,"111,250.00"
Orlando City SC,Grinwis,Adam,GK,$,"67,500.00",$,"67,500.00"
FC Dallas,Gruezo,Carlos,M,$,"595,000.08",$,"730,750.08"
Sporting Kansas City,Gutierrez,Felipe,M,$,"1,599,999.96",$,"1,649,999.96"
Atlanta United,Guzan,Brad,GK,$,"640,008.00",$,"700,008.00"
Portland Timbers,Guzman,David,M,$,"219,999.96",$,"239,999.96"
Toronto FC,Hagglund,Nick,D,$,"125,004.00",$,"134,629.00"
Colorado Rapids,Hairston,Marlon,M,$,"144,996.00",$,"144,996.00"
DC United,Hamid,Bill,GK,$,"67,500.00",$,"93,175.00"
Colorado Rapids,Hamilton,Sam,M,$,"68,254.20",$,"68,254.20"
Toronto FC,Hamilton,Jordan,F,$,"72,930.38",$,"100,430.38"
Columbus Crew,Hansen,Niko,F,$,"68,250.04",$,"75,750.04"
DC United,Harkes,Ian,M,$,"104,500.00",$,"137,737.50"
LAFC,Harvey,Jordan,D,$,"150,000.00",$,"150,000.00"
Chicago Fire,Hasler,Nicolas,D-M,$,"132,000.00",$,"147,666.67"
New England Revolution,Hauche,Guillermo,M-F,$,"120,000.00",$,"135,000.00"
FC Dallas,Hayes,Jacori,M,$,"68,250.04",$,"75,750.04"
Minnesota United,Heath,Harrison,M,$,"69,457.50",$,"69,457.50"
FC Dallas,Hedges,Matt,D,$,"500,004.00",$,"525,004.00"
Real Salt Lake,Henley,Adam,D,$,"114,999.96",$,"122,833.29"
Vancouver Whitecaps,Henry,Doneil,D,$,"140,004.00",$,"154,237.71"
Philadelphia Union,Herbers,Fabian,F-M,$,"100,008.00",$,"100,008.00"
New England Revolution,Herivaux,Zachary,M,$,"68,906.25",$,"83,906.25"
